,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Arraial do Cabo,0,BR,1612391084,78,-22.9661,-42.0278,82.4,21.85
1,Bengkulu,100,ID,1612390583,86,-3.8004,102.2655,75.74,5.35
2,Dikson,100,RU,1612390562,91,73.5069,80.5464,-3.53,15.17
3,Atuona,1,PF,1612390576,72,-9.8,-139.0333,78.01,10.78
4,Albany,100,US,1612390325,66,42.6001,-73.9662,30.0,11.99
5,Katsuura,20,JP,1612391085,57,35.1333,140.3,46.4,21.85
6,San Cristobal,40,VE,1612390968,51,7.7669,-72.225,87.8,12.66
7,Jamestown,1,US,1612390386,74,42.097,-79.2353,28.99,12.66
8,Bredasdorp,1,ZA,1612391085,88,-34.5322,20.0403,59.0,6.91
9,Cherskiy,100,RU,1612391085,85,68.75,161.3,10.33,6.87
10,Hobart,75,AU,1612390801,94,-42.8794,147.3294,60.01,11.5
11,Kaitangata,81,NZ,1612391085,59,-46.2817,169.8464,55.0,8.01
12,Casa Nova,20,BR,1612391086,38,-9.4167,-41.1333,91.4,5.75
13,Moroto,74,UG,1612391086,46,2.5345,34.6666,69.53,5.73
14,Cabo San Lucas,20,MX,1612391086,30,22.8909,-109.9124,84.2,8.05
15,Payo,100,ID,1612391086,96,-3.7508,103.6372,72.59,2.53
16,Katherine,75,AU,1612391086,89,-14.4667,132.2667,80.6,6.91
17,Rikitea,0,PF,1612391052,69,-23.1203,-134.9692,78.15,12.19
18,Nikolskoye,90,RU,1612391086,92,59.7035,30.7861,21.0,17.9
19,Gurun,20,MY,1612391086,73,5.8172,100.4738,79.0,2.3
20,Avarua,23,CK,1612391086,70,-21.2078,-159.775,84.2,8.05
21,Hithadhoo,95,MV,1612390560,74,-0.6,73.0833,82.58,9.04
22,Praia da Vitória,40,PT,1612391087,71,38.7333,-27.0667,53.6,28.74
23,Azare,0,NG,1612391087,20,11.6765,10.1948,71.04,9.93
24,San Patricio,40,US,1612391087,57,28.017,-97.5169,75.2,23.02
25,Butaritari,72,KI,1612391087,84,3.0707,172.7902,81.5,17.76
26,Belmonte,0,BR,1612391087,78,-15.8631,-38.8828,78.8,6.91
27,Ushuaia,75,AR,1612390515,58,-54.8,-68.3,53.6,5.75
28,Kashgar,0,CN,1612391087,64,39.4547,75.9797,28.4,8.95
29,Qui Nhon,83,VN,1612391087,88,13.7667,109.2333,67.59,11.52
30,Hasaki,20,JP,1612390605,64,35.7333,140.8333,32.0,5.75
31,Khatanga,99,RU,1612390564,91,71.9667,102.5,-5.46,10.87
32,Qaanaaq,68,GL,1612390574,66,77.484,-69.3632,-21.44,4.27
33,Avera,1,US,1612390913,26,33.194,-82.5271,53.6,9.22
34,Puerto Ayora,0,EC,1612391036,65,-0.7393,-90.3518,84.2,10.36
