,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cherskiy,2,RU,1612482224,74,68.75,161.3,-11.4,10.6
1,Río Gallegos,0,AR,1612482431,28,-51.6226,-69.2181,69.8,27.63
2,Faya,0,SA,1612482186,76,18.3851,42.4509,59.0,5.75
3,Pemba,20,MZ,1612482431,89,-12.974,40.5178,78.8,3.44
4,Kazygurt,0,KZ,1612482431,48,41.7589,69.3864,39.2,11.5
5,Rikitea,97,PF,1612482163,68,-23.1203,-134.9692,78.78,11.27
6,Jamestown,1,US,1612482150,47,42.097,-79.2353,33.8,6.91
7,Deputatsky,69,RU,1612482428,85,69.3,139.9,-25.55,4.38
8,Hong Kong,35,HK,1612482007,79,22.2855,114.1577,64.0,1.01
9,Tiksi,100,RU,1612482252,88,71.6872,128.8694,-21.78,7.36
10,Egvekinot,100,RU,1612482432,88,66.3167,-179.1667,-19.98,18.37
11,Dikson,100,RU,1612482432,91,73.5069,80.5464,-4.49,15.17
12,Khatanga,0,RU,1612482152,78,71.9667,102.5,-30.75,8.88
13,Baykit,99,RU,1612482154,88,61.67,96.37,-2.6,2.73
14,Albany,20,US,1612482432,55,42.6001,-73.9662,33.8,4.61
15,Provideniya,100,RU,1612482421,88,64.3833,-173.3,-6.38,26.87
16,Saldanha,0,ZA,1612482432,82,-33.0117,17.9442,62.6,6.91
17,Hermanus,27,ZA,1612482197,86,-34.4187,19.2345,66.99,1.01
18,Tuktoyaktuk,75,CA,1612482202,74,69.4541,-133.0374,-34.6,12.66
19,Iqaluit,90,CA,1612482433,85,63.7506,-68.5145,12.2,12.66
20,Ternate,100,ID,1612482433,75,0.8,127.4,81.7,3.51
21,Tasiilaq,75,GL,1612482433,80,65.6145,-37.6368,26.6,17.27
22,Cabo San Lucas,20,MX,1612482352,30,22.8909,-109.9124,86.0,8.05
23,Kamina,67,CD,1612482433,90,-8.7386,24.9906,64.83,3.0
24,Mt. Pleasant,1,US,1612482254,71,32.7941,-79.8626,50.0,10.31
25,Hithadhoo,100,MV,1612482433,76,-0.6,73.0833,82.33,9.86
26,Jalu,0,LY,1612482241,79,29.0331,21.5482,54.32,6.49
27,Kapaa,75,US,1612482433,56,22.0752,-159.319,71.6,9.22
28,Leningradskiy,100,RU,1612482433,85,69.3833,178.4167,-26.43,11.5
29,Balyqshy,90,KZ,1612482434,100,47.0667,51.8667,28.4,6.15
30,Lompoc,1,US,1612482434,51,34.6391,-120.4579,62.6,16.11
31,Mataura,51,NZ,1612482158,47,-46.1927,168.8643,68.94,3.42
32,Ushuaia,20,AR,1612482154,71,-54.8,-68.3,51.8,36.82
33,Tatarsk,86,RU,1612482434,94,55.219,75.9828,6.46,5.88
34,Saskylakh,0,RU,1612482191,75,71.9167,114.0833,-40.56,3.13
35,Hilo,75,US,1612482150,73,19.7297,-155.09,73.4,19.57
36,Ancud,0,CL,1612482168,38,-41.8697,-73.8203,78.8,6.91
